id,positionName,wageRate,category,payment
213,Head of department 13,295,kerivnyk,pohodinna
214,Head of department 14,230,kerivnyk,pohodinna
215,Head of department 15,210,kerivnyk,pohodinna
216,Manager 1,420,kerivnyk,pohodinna
217,Manager 2,430,kerivnyk,pohodinna
218,Manager 3,425,kerivnyk,pohodinna
219,Manager 4,440,kerivnyk,pohodinna
220,Manager 5,450,kerivnyk,pohodinna
221,Manager 6,465,kerivnyk,pohodinna
222,CEO,600,kerivnyk,pohodinna
